z,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
-1.6,0.0548,0.0537,0.05262,0.05155,0.0505,0.04947,0.04846,0.04746,0.04648,0.04551
-1.5,0.06681,0.06552,0.06426,0.06301,0.06178,0.06057,0.05938,0.05821,0.05705,0.05592
-1.4,0.08076,0.07927,0.0778,0.07636,0.07493,0.07353,0.07215,0.07078,0.06944,0.06811
-1.3,0.0968,0.0951,0.09342,0.09176,0.09012,0.08851,0.08691,0.08534,0.08379,0.08226
-1.2,0.11507,0.11314,0.11123,0.10935,0.10749,0.10565,0.10383,0.10204,0.10027,0.09853
-1.1,0.13567,0.1335,0.13136,0.12924,0.12714,0.12507,0.12302,0.121,0.119,0.11702
-1,0.15866,0.15625,0.15386,0.15151,0.14917,0.14686,0.14457,0.14231,0.14007,0.13786
-0.9,0.18406,0.18141,0.17879,0.17619,0.17361,0.17106,0.16853,0.16602,0.16354,0.16109
-0.8,0.21186,0.20897,0.20611,0.20327,0.20045,0.19766,0.19489,0.19215,0.18943,0.18673
-0.7,0.24196,0.23885,0.23576,0.2327,0.22965,0.22663,0.22363,0.22065,0.2177,0.21476
-0.6,0.27425,0.27093,0.26763,0.26435,0.26109,0.25785,0.25463,0.25143,0.24825,0.2451
-0.5,0.30854,0.30503,0.30153,0.29806,0.2946,0.29116,0.28774,0.28434,0.28096,0.2776
-0.4,0.34458,0.3409,0.33724,0.3336,0.32997,0.32636,0.32276,0.31918,0.31561,0.31207
-0.3,0.38209,0.37828,0.37448,0.3707,0.36693,0.36317,0.35942,0.35569,0.35197,0.34827
-0.2,0.42074,0.41683,0.41294,0.40905,0.40517,0.40129,0.39743,0.39358,0.38974,0.38591
-0.1,0.46017,0.4562,0.45224,0.44828,0.44433,0.44038,0.43644,0.43251,0.42858,0.42465
0,0.5,0.49601,0.49202,0.48803,0.48405,0.48006,0.47608,0.4721,0.46812,0.46414
0,0.5,0.50399,0.50798,0.51197,0.51595,0.51994,0.52392,0.5279,0.53188,0.53586
0.1,0.53983,0.5438,0.54776,0.55172,0.55567,0.55962,0.56356,0.56749,0.57142,0.57535
0.2,0.57926,0.58317,0.58706,0.59095,0.59483,0.59871,0.60257,0.60642,0.61026,0.61409
0.3,0.61791,0.62172,0.62552,0.6293,0.63307,0.63683,0.64058,0.64431,0.64803,0.65173
0.4,0.65542,0.6591,0.66276,0.6664,0.67003,0.67364,0.67724,0.68082,0.68439,0.68793
0.5,0.69146,0.69497,0.69847,0.70194,0.7054,0.70884,0.71226,0.71566,0.71904,0.7224
0.6,0.72575,0.72907,0.73237,0.73565,0.73891,0.74215,0.74537,0.74857,0.75175,0.7549
0.7,0.75804,0.76115,0.76424,0.7673,0.77035,0.77337,0.77637,0.77935,0.7823,0.78524
0.8,0.78814,0.79103,0.79389,0.79673,0.79955,0.80234,0.80511,0.80785,0.81057,0.81327
0.9,0.81594,0.81859,0.82121,0.82381,0.82639,0.82894,0.83147,0.83398,0.83646,0.83891
1,0.84134,0.84375,0.84614,0.84849,0.85083,0.85314,0.85543,0.85769,0.85993,0.86214
1.1,0.86433,0.8665,0.86864,0.87076,0.87286,0.87493,0.87698,0.879,0.881,0.88298
1.2,0.88493,0.88686,0.88877,0.89065,0.89251,0.89435,0.89617,0.89796,0.89973,0.90147
1.3,0.9032,0.9049,0.90658,0.90824,0.90988,0.91149,0.91309,0.91466,0.91621,0.91774
1.4,0.91924,0.92073,0.9222,0.92364,0.92507,0.92647,0.92785,0.92922,0.93056,0.93189
1.5,0.93319,0.93448,0.93574,0.93699,0.93822,0.93943,0.94062,0.94179,0.94295,0.94408
1.6,0.9452,0.9463,0.94738,0.94845,0.9495,0.95053,0.95154,0.95254,0.95352,0.95449
